1,-45,1
1,-48,1
1,-47,4
1,-42,1
1,-44,1
1,-46,2
1,-57,1
1,-51,1
1,-49,1
1,-52,1
1,-55,1
15,-75,3
15,-78,3
15,-77,5
15,-68,4
15,-76,3
15,-69,2
15,-71,2
15,-70,2
15,-74,4
15,-72,3
15,-73,5
15,-66,1
15,-67,1
10,-72,2
10,-83,1
10,-64,4
10,-63,6
10,-68,4
10,-65,6
10,-81,1
10,-69,2
10,-73,2
10,-67,4
10,-70,4
10,-59,3
10,-60,2
10,-61,4
10,-57,1
10,-62,3
10,-58,1
20,-71,3
20,-76,2
20,-74,1
20,-69,1
20,-78,1
20,-77,2
20,-73,2
20,-72,1
20,-75,1
5,-60,5
5,-69,1
5,-58,6
5,-62,4
5,-71,1
5,-63,1
5,-67,2
5,-57,2
5,-59,1
5,-70,1
5,-65,1
5,-64,2
5,-55,1
5,-61,1
5,-66,1
