20,-78,1
20,-77,2
20,-71,4
20,-70,8
20,-73,1
20,-69,5
20,-67,2
20,-75,2
20,-72,2
20,-68,2
5,-67,5
5,-69,1
5,-64,8
5,-65,3
5,-68,4
5,-63,3
5,-73,2
5,-66,1
5,-60,1
5,-50,7
5,-47,3
5,-51,6
5,-52,4
5,-55,2
5,-48,2
5,-46,1
5,-59,1
5,-53,3
5,-54,2
5,-56,2
5,-49,3
15,-79,1
15,-71,6
15,-76,1
15,-77,1
15,-69,9
15,-74,5
15,-75,5
15,-73,4
15,-72,5
15,-63,7
15,-64,6
15,-68,8
15,-70,6
15,-65,7
15,-67,7
15,-66,3
10,-62,3
10,-64,8
10,-67,2
10,-65,6
10,-66,4
10,-61,9
10,-60,8
10,-58,5
10,-63,5
10,-71,5
10,-70,1
10,-72,2
10,-69,1
10,-59,5
10,-56,5
10,-55,1
10,-57,3
10,-73,1
10,-68,2
10,-76,1
1,-56,4
1,-60,6
1,-52,5
1,-59,4
1,-57,4
1,-63,3
1,-62,3
1,-68,3
1,-61,6
1,-66,2
1,-65,1
1,-58,6
1,-72,1
1,-67,2
1,-64,1
1,-49,3
1,-48,1
1,-50,2
1,-55,6
1,-54,4
1,-31,1
1,-53,4
1,-51,1
